,2018-12-23 10:10:00,2018-12-23 10:15:00,2018-12-23 10:20:00,2018-12-23 10:25:00,2018-12-23 10:30:00,2018-12-23 10:35:00,2018-12-23 10:40:00,2018-12-23 10:45:00,2018-12-23 10:50:00,2018-12-23 10:55:00,2018-12-23 11:00:00,2018-12-23 11:05:00,2018-12-23 11:10:00,2018-12-23 11:15:00,2018-12-23 11:20:00,2018-12-23 11:25:00,2018-12-23 11:30:00,2018-12-23 11:35:00,2018-12-23 11:40:00,2018-12-23 11:45:00,2018-12-23 11:50:00,2018-12-23 11:55:00,2018-12-23 12:00:00,2018-12-23 12:05:00,2018-12-23 12:10:00,2018-12-23 12:15:00,2018-12-23 12:20:00,2018-12-23 12:25:00,2018-12-23 12:30:00,2018-12-23 12:35:00,2018-12-23 12:40:00,2018-12-23 12:45:00,2018-12-23 12:50:00,2018-12-23 12:55:00,2018-12-23 13:00:00,2018-12-23 13:05:00,2018-12-23 13:10:00,2018-12-23 13:15:00,2018-12-23 13:20:00,2018-12-23 13:25:00,2018-12-23 13:30:00,2018-12-23 13:35:00,2018-12-23 13:40:00,2018-12-23 13:45:00,2018-12-23 13:50:00,2018-12-23 13:55:00,2018-12-23 14:00:00,2018-12-23 14:05:00,2018-12-23 14:10:00,2018-12-23 14:15:00,2018-12-23 14:20:00,2018-12-23 14:25:00,2018-12-23 14:30:00,2018-12-23 14:35:00,2018-12-23 14:40:00,2018-12-23 14:45:00,2018-12-23 14:50:00,2018-12-23 14:55:00,2018-12-23 15:00:00,2018-12-23 15:05:00,2018-12-23 15:10:00,2018-12-23 15:15:00,2018-12-23 15:20:00,2018-12-23 15:25:00,2018-12-23 15:30:00,2018-12-23 15:35:00,2018-12-23 15:40:00,2018-12-23 15:45:00,2018-12-23 15:50:00,2018-12-23 15:55:00,2018-12-23 16:00:00,2018-12-23 16:05:00,2018-12-23 16:10:00,2018-12-23 16:15:00,2018-12-23 16:20:00,2018-12-23 16:25:00,2018-12-23 16:30:00,2018-12-23 16:35:00,2018-12-23 16:40:00,2018-12-23 16:45:00,2018-12-23 16:50:00,2018-12-23 16:55:00,2018-12-23 17:00:00,2018-12-23 17:05:00,2018-12-23 17:10:00,2018-12-23 17:15:00,2018-12-23 17:20:00,2018-12-23 17:25:00,2018-12-23 17:30:00,2018-12-23 17:35:00,2018-12-23 17:40:00,2018-12-23 17:45:00,2018-12-23 17:50:00,2018-12-23 17:55:00,2018-12-23 18:00:00,2018-12-23 18:05:00,2018-12-23 18:10:00,2018-12-23 18:15:00,2018-12-23 18:20:00,2018-12-23 18:25:00,2018-12-23 18:30:00,2018-12-23 18:35:00,2018-12-23 18:40:00,2018-12-23 18:45:00,2018-12-23 18:50:00,2018-12-23 18:55:00,2018-12-23 19:00:00,2018-12-23 19:05:00,2018-12-23 19:10:00,2018-12-23 19:15:00,2018-12-23 19:20:00,2018-12-23 19:25:00,2018-12-23 19:30:00,2018-12-23 19:35:00,2018-12-23 19:40:00,2018-12-23 19:45:00,2018-12-23 19:50:00,2018-12-23 19:55:00,2018-12-23 20:00:00,2018-12-23 20:05:00
0,12,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,2,1,2,0,1,2,0,0,0,0,2,0,0,1,1,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,1,0,0,3,1,0,1,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,2,0,0,1,1,1,2,0,1,1,0,1,0,1,0,0,0,0
1,32,1,1,0,1,4,3,2,4,0,3,1,0,0,0,1,1,3,2,4,1,0,2,1,0,1,0,1,0,2,2,0,4,0,1,2,2,0,1,4,2,1,1,0,0,1,1,0,0,1,0,1,1,3,3,0,5,2,1,2,1,1,0,2,1,0,1,1,2,2,1,0,0,1,1,1,2,0,0,0,1,3,1,2,2,0,2,1,0,1,0,1,0,0,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0
2,12,1,1,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,2,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,2,0,0,0,1,0,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,2,1,3,1,0,1,0,0,2,0,2,0,1,0,0,1,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
3,23,0,1,3,1,0,0,0,0,2,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,2,2,2,2,2,0,0,2,0,0,0,1,0,1,0,1,3,2,0,2,3,0,0,0,2,0,1,0,2,1,1,1,0,2,1,0,1,1,3,1,1,0,1,0,2,0,2,0,2,0,0,1,1,0,3,1,0,1,1,1,2,3,4,0,0,1,0,1,1,0,2,2,1,1,5,2,2,4,1,0,4,1,1,0,0,0,0,1,0,1,0,0,0,0
4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,17,0,0,1,0,0,0,1,1,0,2,2,1,1,0,0,0,0,1,0,1,0,0,1,0,3,3,1,0,1,0,3,1,0,1,1,1,0,2,1,0,1,0,0,2,1,2,0,0,1,1,2,2,1,0,0,0,2,3,0,0,0,1,1,2,0,2,1,1,1,0,2,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,2,0,2,1,0,0,0,0,1,2,0,1,0,1,1,1,0,2,1,2,2,0,0,2,1,0,0,0
7,8,1,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,2,0,0,0,1,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,1,2,1,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,1,1,2,1,0,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
